dataset	method	trial	ml	score	time
wav	weight_parents	0	DecisionTreeClassifier	0.738399618996	97.92043876647949
wav	control	9	DecisionTreeClassifier	0.740597738796	93.35462617874146
wav	weight_parents	7	DecisionTreeClassifier	0.731998258212	98.28745293617249
wav	weight_parents	8	DecisionTreeClassifier	0.745598899428	99.71918606758118
wav	control	6	DecisionTreeClassifier	0.747799299684	100.04370141029358
yeast	weight_parents	9	LogisticRegression	0.595020379231	295.91268587112427
yeast	weight_parents	3	LogisticRegression	0.580187843346	295.79559564590454
yeast	control	1	LogisticRegression	0.584912553334	296.29662442207336
yeast	weight_parents	2	LogisticRegression	0.595008110798	296.325147151947
yeast	control	0	LogisticRegression	0.595013563435	296.5410439968109
yeast	weight_parents	7	LogisticRegression	0.589623631729	296.93105483055115
yeast	control	8	LogisticRegression	0.586919123761	295.4715518951416
yeast	weight_parents	1	LogisticRegression	0.5889420521	300.65452432632446
yeast	control	4	LogisticRegression	0.599734183945	295.85189390182495
yeast	control	6	LogisticRegression	0.596364454259	296.8141007423401
wav	weight_parents	4	LogisticRegression	0.86579982923	283.0613660812378
yeast	control	7	LogisticRegression	0.591657465342	300.829381942749
wav	weight_parents	7	LogisticRegression	0.86579982923	292.3696982860565
wav	weight_parents	1	LogisticRegression	0.865399669166	291.7848072052002
wav	control	2	LogisticRegression	0.86579982923	295.0242381095886
yeast	weight_parents	4	LogisticRegression	0.58828091986	323.14543652534485
wav	weight_parents	8	LogisticRegression	0.866599189166	303.6830635070801
wav	weight_parents	0	LogisticRegression	0.86579982923	303.9257342815399
yeast	weight_parents	0	LogisticRegression	0.595012200275	325.5084812641144
yeast	weight_parents	8	LogisticRegression	0.593672214725	325.81799125671387
yeast	weight_parents	6	LogisticRegression	0.595008110798	326.4119050502777
yeast	control	3	LogisticRegression	0.595696506223	326.41866278648376
wav	control	4	LogisticRegression	0.864000189158	306.571932554245
yeast	control	2	LogisticRegression	0.595014926594	328.2521867752075
wav	control	9	LogisticRegression	0.867199549286	303.7762086391449
wav	control	1	LogisticRegression	0.86579982923	310.1154885292053
yeast	control	9	LogisticRegression	0.595014926594	324.7109341621399
yeast	weight_parents	5	LogisticRegression	0.586251175725	330.61661744117737
yeast	control	5	LogisticRegression	0.589631810684	325.46558451652527
wav	weight_parents	9	LogisticRegression	0.863000389118	310.3256747722626
wav	control	6	LogisticRegression	0.861197988494	311.6021339893341
seg	weight_parents	2	LogisticRegression	0.928138528139	325.02973651885986
seg	control	0	LogisticRegression	0.920779220779	325.1054174900055
seg	weight_parents	9	LogisticRegression	0.927272727273	326.76921582221985
seg	weight_parents	6	LogisticRegression	0.92683982684	326.1669034957886
wav	weight_parents	5	LogisticRegression	0.864999989198	315.7886288166046
seg	weight_parents	5	LogisticRegression	0.930303030303	327.081139087677
seg	control	4	LogisticRegression	0.92380952381	327.3352439403534
seg	control	9	LogisticRegression	0.931168831169	325.90548849105835
seg	control	8	LogisticRegression	0.928138528139	326.51187205314636
seg	control	6	LogisticRegression	0.925541125541	327.6742799282074
seg	control	2	LogisticRegression	0.930303030303	332.8923668861389
seg	weight_parents	7	LogisticRegression	0.912554112554	333.02945947647095
wav	control	3	LogisticRegression	0.86579982923	329.8483159542084
wav	weight_parents	3	LogisticRegression	0.86579982923	330.1595211029053
wav	control	5	LogisticRegression	0.865399669166	330.6243693828583
wav	weight_parents	2	LogisticRegression	0.866999589278	333.3193905353546
wav	weight_parents	6	LogisticRegression	0.864999989198	333.34236097335815
wav	control	0	LogisticRegression	0.867599469302	334.665287733078
wav	control	7	LogisticRegression	0.86579982923	335.26807856559753
wav	control	8	LogisticRegression	0.86579982923	335.48283648490906
seg	weight_parents	3	LogisticRegression	0.932467532468	355.6299796104431
seg	control	1	LogisticRegression	0.922077922078	355.6150953769684
seg	weight_parents	1	LogisticRegression	0.927705627706	356.1217563152313
seg	control	3	LogisticRegression	0.925974025974	358.24131083488464
seg	weight_parents	4	LogisticRegression	0.933333333333	358.5825879573822
seg	control	5	LogisticRegression	0.934632034632	359.9670879840851
seg	control	7	LogisticRegression	0.922943722944	355.18753480911255
seg	weight_parents	8	LogisticRegression	0.928571428571	361.4042408466339
seg	weight_parents	0	LogisticRegression	0.919913419913	364.0959737300873
enc	weight_parents	4	LassoLarsCV	0.890870243693	422.3912560939789
enc	control	4	LassoLarsCV	0.868933630867	442.74379229545593
enc	weight_parents	9	LassoLarsCV	0.883702332588	440.2099804878235
enc	weight_parents	8	LassoLarsCV	0.853380624685	447.34807538986206
enc	weight_parents	2	LassoLarsCV	0.881585524551	460.77711391448975
enc	control	5	LassoLarsCV	0.811557218104	457.2965521812439
enc	weight_parents	0	LassoLarsCV	0.852485907394	469.1948153972626
concrete	control	2	LassoLarsCV	0.674292470485	474.2210268974304
enc	control	6	LassoLarsCV	0.866993201094	474.95011711120605
enc	control	8	LassoLarsCV	0.808605873252	475.6744170188904
concrete	control	8	LassoLarsCV	0.405422268415	483.2095420360565
enc	weight_parents	3	LassoLarsCV	0.866686541243	476.7959713935852
enc	weight_parents	5	LassoLarsCV	0.894879143775	477.6296355724335
